,targetname,datetime_jd,datetime_str,x,y,z,vx,vy,vz,lighttime,range,range_rate
14,Earth (399),2460911.933959222,A.D. 2025-Aug-24 10:24:54.0768,0.8856501036937028,-0.4875711744888898,2.408142919602519e-05,0.00802037825413272,0.01501353656321318,-2.888043429533153e-07,0.005838994068127474,1.010990483113,-0.0002145607040822713
15,Earth (399),2460911.935124222,A.D. 2025-Aug-24 10:26:34.7328,0.8856594472612122,-0.4875536836237662,2.408109273907813e-05,0.008020080985903663,0.01501369969409182,-2.888040917785067e-07,0.005838992624442583,1.01099023314671,-0.0002145659745786292
16,Earth (399),2460911.936285222,A.D. 2025-Aug-24 10:28:15.0432,0.8856687584032643,-0.4875362526240504,2.408075743765985e-05,0.008019784734938242,0.01501386225870747,-2.888038853548485e-07,0.00583899118567927,1.010989984032564,-0.0002145712267682824
17,Earth (399),2460911.937449222,A.D. 2025-Aug-24 10:29:55.6128,0.8856780932598292,-0.4875187763935295,2.408042127004944e-05,0.008019487715059588,0.01501402523721644,-2.888037223773553e-07,0.005838989743162866,1.010989734268592,-0.0002145764923183784
18,Earth (399),2460911.938613222,A.D. 2025-Aug-24 10:31:36.1824,0.885687427770661,-0.4875012999733053,2.408008510258844e-05,0.008019190691769845,0.0150141882095471,-2.888036034379899e-07,0.005838988300611067,1.01098948449849,-0.0002145817576570082
19,Earth (399),2460911.939773222,A.D. 2025-Aug-24 10:33:16.4064,0.8856967298601781,-0.4874838834207901,2.407975009050682e-05,0.00801889468578542,0.01501435061568883,-2.888035287132125e-07,0.005838986862981278,1.010989235580608,-0.0002145870046912435
20,Earth (399),2460911.944362222,A.D. 2025-Aug-24 10:39:52.8960,0.8857335258809589,-0.4874149810917249,2.407842477105727e-05,0.008017723642700241,0.01501499303983301,-2.888036617468306e-07,0.005838981175323657,1.010988250793219,-0.000214607760078601
21,Earth (399),2460911.945525222,A.D. 2025-Aug-24 10:41:33.3792,0.8857428503209691,-0.4873975185601613,2.407808889226057e-05,0.008017426854350375,0.01501515583549292,-2.888038041410517e-07,0.00583897973380116,1.010988001201336,-0.0002146130196374376
22,Earth (399),2460911.946690222,A.D. 2025-Aug-24 10:43:14.0352,0.8857521904500779,-0.4873800258086214,2.407775243576174e-05,0.008017129552203808,0.01501531890492701,-2.88803990836039e-07,0.005838978289764271,1.010987751174099,-0.0002146182880289079
23,Earth (399),2460911.947850222,A.D. 2025-Aug-24 10:44:54.2592,0.8857614901486596,-0.4873626079445241,2.407741742295796e-05,0.008016833522639075,0.01501548126834255,-2.888042205380925e-07,0.005838976851889746,1.010987502213842,-0.0002146235335981691
